SensoDuino log file created:
DATE: 2014/9/28
TIME:  0:13:39
----------------------------
Magnetometer, 476, -8.0,-19.40001,-39.899994, 0
Orient, 477, 17.496546,-48.202557,4.8071446, 0
RotVec, 478, 0.40004453,-0.09051216,-0.12600854, 3
AccLin, 479, 0.036524046,0.102387086,0.14879058, 3
Gravity, 480, 0.6149213,7.3133416,6.5093637, 3
Audio, 481, 287,,,99
Pres, 482, 1012.41,,,3
Gyro, 483, -0.2611336, 0.32188642,0.050094593, 3
Accelerometer, 484, 0.6541397,7.3726187,6.51116, 3
Magnetometer, 485, -7.199997,-18.300003,-40.300003, 0
Orient, 486, 16.732096,-47.088646,4.65235, 0
RotVec, 487, 0.39192596,-0.085251845,-0.12146062, 3
AccLin, 488, 0.069455564,0.18770966,-0.14235397, 3
Gravity, 489, 0.58468413,7.184909,6.653514, 3
GPS1, 490, 40.739851486869156, -73.55702952481806, 4.70001220703125, 10.0
GPS2, 490, 293.0, 0.5004, 1414469633000, 10.0
Audio, 491, 484,,,99
